Ref,Val,Package,PosX,PosY,Rot,Side
"","","",134.347686,-94.761169,90.000000,top
"C1","1.0uF","C_0402",133.667488,-80.783374,180.000000,top
"C2","1.0uF","C_0402",129.407488,-83.403374,180.000000,top
"C3","0.1uF","C_0402",140.287686,-98.464294,45.000000,top
"C4","0.1uF","C_0402",128.967488,-87.293374,180.000000,top
"C5","0.1uF","C_0402",142.612875,-124.789375,0.000000,top
"C6","1.0uF","C_0402",134.012875,-86.889375,45.000000,top
"C7","0.1uF","C_0402",136.580027,-86.459760,135.000000,top
"C8","470pF","C_0402",141.752875,-93.119375,45.000000,top
"C9","100nF","C_0402",132.077488,-86.093374,0.000000,top
"C10","470pF","C_0402",142.532875,-95.609375,-45.000000,top
"C11","1.0uF","C_0402",142.151595,-99.366010,-135.000000,top
"C12","100nf","C_0402",169.262875,-153.829375,180.000000,top
"C13","100nf","C_0402",126.832985,-154.282124,0.000000,top
"C14","100nf","C_0402",147.232985,-154.142124,180.000000,top
"C15","100nf","C_0402",158.282985,-154.022124,180.000000,top
"C16","100nf","C_0402",111.522985,-154.272124,180.000000,top
"C17","100nf","C_0402",105.647875,-154.194375,0.000000,top
"C18","100nf","C_0402",138.765363,-150.030249,0.000000,top
"C19","100nf","C_0402",147.560985,-42.289124,180.000000,top
"C20","100nf","C_0402",159.752985,-42.212124,180.000000,top
"C21","100nf","C_0402",169.272875,-41.999375,180.000000,top
"C22","100nf","C_0402",136.134113,-45.914624,180.000000,top
"C23","100nf","C_0402",128.129985,-42.289124,0.000000,top
"C24","100nf","C_0402",116.602485,-42.289124,0.000000,top
"C25","100nf","C_0402",105.647875,-42.227124,0.000000,top
"FB1","330Ω@100MHz","BEADC1608X95N",133.187488,-78.713374,-90.000000,top
"FB2","330Ω@100MHz","BEADC1608X95N",129.597488,-79.703374,-90.000000,top
"J1","Conn_01x05","CONN-SMD_X8821WRS-05-9TSN",115.854988,-74.010874,180.000000,top
"J2","Conn_01x02","CONN-SMD_X8821WRS-02-9TSN",131.117488,-70.028374,180.000000,top
"J3","Conn_01x05","CONN-SMD_X8821WRS-05-9TSN",138.387488,-118.773374,0.000000,top
"J4","Conn_01x03","CONN-SMD_X8821WRS-03-9TSN",102.461860,-148.359308,-90.000000,top
"J5","Conn_01x03","CONN-SMD_X8821WRS-03-9TSN",172.212860,-148.359308,90.000000,top
"J6","Conn_01x03","CONN-SMD_X8821WRS-03-9TSN",172.219360,-47.454308,90.000000,top
"J7","Conn_01x03","CONN-SMD_X8821WRS-03-9TSN",102.468360,-47.454308,-90.000000,top
"R2","560ohm","R_0402",135.147875,-102.251177,45.000000,top
"R3","560ohm","R_0402",132.437488,-104.843374,90.000000,top
"R4","560ohm","R_0402",130.175756,-106.622886,45.000000,top
"R5","560ohm","R_0402",130.757488,-100.913374,77.500000,top
"R6","560ohm","R_0402",128.054436,-104.501565,45.000000,top
"R7","560ohm","R_0402",129.034561,-101.146794,78.750000,top
"R8","560ohm","R_0402",125.933116,-102.380245,45.000000,top
"R9","560ohm","R_0402",124.872456,-101.319585,45.000000,top
"R10","560ohm","R_0402",123.811795,-100.258925,45.000000,top
"R11","560ohm","R_0402",121.297061,-98.464294,0.000000,top
"R12","560ohm","R_0402",120.006436,-96.436169,0.000000,top
"R13","560ohm","R_0402",126.562875,-95.589375,45.000000,top
"R14","560ohm","R_0402",125.168936,-93.486169,0.000000,top
"R15","560ohm","R_0402",122.218936,-92.564294,0.000000,top
"R17","560ohm","R_0402",136.415811,-105.423374,90.000000,top
"R18","560ohm","R_0402",137.890811,-105.470544,90.000000,top
"R19","560ohm","R_0402",139.064561,-104.176794,90.000000,top
"R20","560ohm","R_0402",139.594561,-101.464846,135.000000,top
"R21","560ohm","R_0402",143.790811,-98.464294,135.000000,top
"R22","560ohm","R_0402",146.187686,-95.145544,180.000000,top
"R23","560ohm","R_0402",146.359663,-90.721822,-135.000000,top
"R24","560ohm","R_0402",145.299003,-89.661162,-135.000000,top
"R25","560ohm","R_0402",144.238343,-88.600502,-135.000000,top
"R26","560ohm","R_0402",143.177682,-87.539841,-135.000000,top
"R27","560ohm","R_0402",142.117022,-86.479181,-135.000000,top
"R28","560ohm","R_0402",141.112931,-85.361953,-135.000000,top
"R29","560ohm","R_0402",140.052270,-84.301292,-135.000000,top
"R30","560ohm","R_0402",138.272686,-82.641169,-90.000000,top
"R31","330ohm","R_0402",121.752347,-90.509690,-45.000000,top
"R32","330ohm","R_0402",122.897860,-88.855060,-45.000000,top
"R33","330ohm","R_0402",123.999290,-87.545176,-45.000000,top
"R34","330ohm","R_0402",125.287488,-85.643374,-45.000000,top
"T1","TS34031","CONN-SMD_TS34031",119.567271,-149.679308,0.000000,top
"T33","TS34031","CONN-SMD_TS34031",155.136699,-46.474124,0.000000,top
"T35","TS34031","CONN-SMD_TS34031",155.136699,-149.694124,0.000000,top
"T37","TS34031","CONN-SMD_TS34031",119.833646,-46.474124,0.000000,top
"U1","CY8C4146AZI-S433","QFP50P900X900X160-48N",134.347686,-94.761169,45.000000,top
